region,tile_id,mae_lr,mae_sr,mae_gt_raster,refused_lr,refused_sr,refused_gt_raster,gt_forest,gt_agriculture,gt_urban,gt_water,gt_bare_soil,lr_forest,sr_forest,lr_agriculture,sr_agriculture,lr_urban,sr_urban,lr_water,sr_water,lr_bare_soil,sr_bare_soil,mae_lr_forest,mae_sr_forest,mae_lr_agriculture,mae_sr_agriculture,mae_lr_urban,mae_sr_urban,mae_lr_water,mae_sr_water,mae_lr_bare_soil,mae_sr_bare_soil
R1,tile_0000,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,30.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,35.0,20.0,30.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,35.0,20.0
R1,tile_0001,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0
R1,tile_0002,20.0,21.0,18.0,False,False,False,0.0,0.0,0.0,0.0,0.0,30.0,50.0,20.0,50.0,5.0,0.0,10.0,0.0,35.0,5.0,30.0,50.0,20.0,50.0,5.0,0.0,10.0,0.0,35.0,5.0
R1,tile_0003,20.0,19.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,25.0,5.0
R1,tile_0004,20.0,19.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,30.0,50.0,50.0,30.0,0.0,5.0,0.0,5.0,20.0,5.0,30.0,50.0,50.0,30.0,0.0,5.0,0.0,5.0,20.0,5.0
R1,tile_0005,16.0,19.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,5.0,5.0,40.0,50.0,20.0,30.0,5.0,5.0,10.0,5.0,5.0,5.0
R1,tile_0006,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,30.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,35.0,20.0,30.0,20.0,20.0,60.0,5.0,0.0,10.0,0.0,35.0,20.0
R1,tile_0007,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,30.0,20.0,50.0,10.0,0.0,5.0,10.0,15.0,10.0,50.0,30.0,20.0,50.0,10.0,0.0,5.0,10.0,15.0,10.0
R1,tile_0008,20.4,18.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,50.0,5.0,0.0,10.0,0.0,57.0,20.0,20.0,20.0,10.0,50.0,5.0,0.0,10.0,0.0,57.0,20.0
R1,tile_0009,21.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,60.0,5.0,5.0,20.0,5.0,50.0,10.0,20.0,20.0,10.0,60.0,5.0,5.0,20.0,5.0,50.0,10.0
R1,tile_0010,15.0,20.0,19.8,False,False,False,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,5.0,10.0,5.0,20.0,40.0,20.0,20.0,50.0,5.0,0.0,5.0,10.0,5.0,20.0
R1,tile_0011,19.0,20.0,21.0,False,False,False,0.0,0.0,0.0,0.0,0.0,30.0,20.0,20.0,30.0,10.0,20.0,5.0,5.0,30.0,25.0,30.0,20.0,20.0,30.0,10.0,20.0,5.0,5.0,30.0,25.0
R1,tile_0012,20.0,20.0,,False,False,True,0.0,0.0,0.0,0.0,0.0,20.0,30.0,10.0,20.0,40.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,20.0,40.0,30.0,10.0,10.0,20.0,10.0
R1,tile_0013,21.0,20.0,21.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,20.0,25.0,10.0,20.0,40.0,5.0,10.0,5.0,20.0,50.0,20.0,25.0,10.0,20.0,40.0,5.0,10.0,5.0,20.0
R1,tile_0014,22.0,20.0,19.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,40.0,20.0,5.0,5.0,5.0,10.0,30.0,25.0,20.0,50.0,40.0,20.0,5.0,5.0,5.0,10.0,30.0,25.0,20.0
R1,tile_0015,21.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,50.0,10.0,0.0,5.0,0.0,20.0,25.0,50.0,25.0,20.0,50.0,10.0,0.0,5.0,0.0,20.0,25.0,50.0,25.0
R1,tile_0016,22.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,50.0,75.0,20.0,0.0,5.0,0.0,10.0,0.0,25.0,25.0,50.0,75.0,20.0,0.0,5.0,0.0,10.0,0.0,25.0,25.0
