tile_id,caption_gt,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,"The image shows a mix of land cover types, including a bridge, a building, a road, and a building, with the bridge and the building being the most prominent features.",2.2002215683460236,2.298135906457901,1.7984768748283386,2.375895231962204
tile_0001,"The remote sensing image shows a mix of land cover types, including trees, buildings, and a road.",2.093026638031006,2.4070343375205994,2.0311200618743896,2.338958978652954
tile_0002,"The image shows a mix of land cover types, including a bridge, buildings, trees, and a road.",2.4182868003845215,2.370080351829529,2.219070792198181,2.1197083592414856
tile_0003,"The image shows a mix of land cover types, including a bridge, a building, and a road, with the majority of the area being covered in trees.",2.372876852750778,2.268870919942856,2.1329668164253235,1.9946537911891937
tile_0004,"The image shows a mix of land cover types, including buildings, trees, and a road.",2.488853931427002,2.3091433942317963,2.475961297750473,2.041216492652893
tile_0005,"The image shows a mix of land cover types, including buildings, trees, and a road.",2.4938809871673584,2.3857709765434265,2.4906371533870697,2.340291738510132
tile_0006,"The image shows a mix of land cover types, including buildings, trees, and a road.",2.5,2.4523796141147614,2.5,2.389337420463562
tile_0007,"The remote sensing image shows a mix of land cover types, including a baseball field, a bridge, a building, a dam, a road, and a soccer ball field.",1.9538189470767975,2.2987355291843414,1.7284375429153442,2.0163969695568085
tile_0008,"The image shows a mix of land cover types, including a golf field, a bridge, and a building.",2.29823037981987,2.3001404106616974,1.950347125530243,2.011529952287674
tile_0009,"The remote sensing image shows a mix of land cover types, including a large field, some trees, and a road.",2.1932268142700195,2.0865264534950256,2.38277405500412,2.2627124190330505
tile_0010,"The image shows a mix of land cover types, including buildings, trees, and a road.",2.4938809871673584,2.5,2.4906371533870697,2.5
tile_0011,"The image shows a mix of land cover types, including buildings, trees, and a roundabout.",2.3790743947029114,2.3790743947029114,2.1119892597198486,2.1119892597198486
tile_0012,"The image shows a mix of land cover types, including buildings, houses, trees, and a road.",2.323775589466095,2.4768224358558655,2.253744751214981,2.467118799686432
tile_0013,"The image shows a mix of land cover types, including buildings, trees, and a bridge.",2.28044793009758,2.3931095004081726,2.138693928718567,2.1936319768428802
tile_0014,"The image shows a remote sensing scene with a bridge at the bottom left, a building at the top left, and a gray ship at the top left. The land cover type visible is a bridge.",2.0092427730560303,1.8847957253456116,1.4073890447616577,1.319761574268341
tile_0015,"The image shows a remote sensing scene with a mix of land cover types, including buildings, trees, and a road.",2.5,2.1785831451416016,2.500000298023224,2.030215859413147
tile_0016,"The image shows a remote sensing scene with a mix of land cover types, including trees, grass, and a building.",2.4241727590560913,2.271971106529236,2.3778875172138214,2.3783299326896667
tile_0017,"The image shows a mix of land cover types, including trees, grass, and a golf field.",2.121381163597107,2.35822856426239,2.1818648278713226,2.3357808589935303
tile_0018,"The image shows a mix of land cover types, including trees, grass, and a building.",2.1997418999671936,2.447706013917923,2.295358180999756,2.446794807910919
