tile_id,x0,y0,x1,y1,lr_shape,sr_shape,gt_shape
tile_0000,-5721348.64,-3504909.45,-5720608.4,-3504169.22,64x64,310x310,1829x1829
tile_0001,-5720608.4,-3504909.45,-5719868.17,-3504169.22,64x64,310x310,1829x1829
tile_0002,-5719868.17,-3504909.45,-5719127.94,-3504169.22,64x64,310x310,1829x1829
tile_0003,-5719127.94,-3504909.45,-5718387.7,-3504169.22,64x64,310x310,1829x1829
tile_0004,-5718387.7,-3504909.45,-5717647.47,-3504169.22,64x64,310x310,1829x1829
tile_0005,-5717647.47,-3504909.45,-5716907.24,-3504169.22,64x64,310x310,1829x1829
tile_0006,-5716907.24,-3504909.45,-5716167.0,-3504169.22,64x64,310x310,1829x1829
tile_0007,-5716167.0,-3504909.45,-5715426.77,-3504169.22,64x64,310x310,1829x1829
tile_0008,-5715426.77,-3504909.45,-5714686.53,-3504169.22,64x64,310x310,1829x1829
tile_0009,-5714686.53,-3504909.45,-5713946.3,-3504169.22,64x64,310x310,1829x1829
tile_0010,-5713946.3,-3504909.45,-5713206.07,-3504169.22,64x64,310x310,1829x1829
tile_0011,-5713206.07,-3504909.45,-5712465.83,-3504169.22,64x64,310x310,1829x1829
tile_0012,-5712465.83,-3504909.45,-5711725.6,-3504169.22,64x64,310x310,1829x1829
tile_0013,-5711725.6,-3504909.45,-5710985.37,-3504169.22,64x64,310x310,1829x1829
tile_0014,-5710985.37,-3504909.45,-5710245.13,-3504169.22,64x64,310x310,1829x1829
tile_0015,-5710245.13,-3504909.45,-5709504.9,-3504169.22,64x64,310x310,1829x1829
tile_0016,-5709504.9,-3504909.45,-5708764.66,-3504169.22,64x64,310x310,1829x1829
tile_0017,-5708764.66,-3504909.45,-5708024.43,-3504169.22,64x64,310x310,1829x1829
tile_0018,-5708024.43,-3504909.45,-5707284.2,-3504169.22,64x64,310x310,1829x1829
tile_0019,-5707284.2,-3504909.45,-5706543.96,-3504169.22,64x64,310x310,1829x1829
tile_0020,-5706543.96,-3504909.45,-5705803.73,-3504169.22,64x64,310x310,1829x1829
tile_0021,-5705803.73,-3504909.45,-5705063.5,-3504169.22,64x64,310x310,1829x1829
tile_0022,-5705063.5,-3504909.45,-5704323.26,-3504169.22,64x64,310x310,1829x1829
tile_0023,-5721348.64,-3504169.22,-5720608.4,-3503428.99,64x64,310x310,1829x1829
tile_0024,-5720608.4,-3504169.22,-5719868.17,-3503428.99,64x64,310x310,1829x1829
tile_0025,-5719868.17,-3504169.22,-5719127.94,-3503428.99,64x64,310x310,1829x1829
tile_0026,-5719127.94,-3504169.22,-5718387.7,-3503428.99,64x64,310x310,1829x1829
tile_0027,-5718387.7,-3504169.22,-5717647.47,-3503428.99,64x64,310x310,1829x1829
tile_0028,-5717647.47,-3504169.22,-5716907.24,-3503428.99,64x64,310x310,1829x1829
tile_0029,-5716907.24,-3504169.22,-5716167.0,-3503428.99,64x64,310x310,1829x1829
tile_0030,-5716167.0,-3504169.22,-5715426.77,-3503428.99,64x64,310x310,1829x1829
tile_0031,-5715426.77,-3504169.22,-5714686.53,-3503428.99,64x64,310x310,1829x1829
tile_0032,-5714686.53,-3504169.22,-5713946.3,-3503428.99,64x64,310x310,1829x1829
tile_0033,-5713946.3,-3504169.22,-5713206.07,-3503428.99,64x64,310x310,1829x1829
