tile_id,mae_lr,mae_sr,mae_gt_raster,refused_lr,refused_sr,refused_gt_raster,gt_forest,gt_agriculture,gt_urban,gt_water,gt_bare_soil,lr_forest,sr_forest,lr_agriculture,sr_agriculture,lr_urban,sr_urban,lr_water,sr_water,lr_bare_soil,sr_bare_soil,mae_lr_forest,mae_sr_forest,mae_lr_agriculture,mae_sr_agriculture,mae_lr_urban,mae_sr_urban,mae_lr_water,mae_sr_water,mae_lr_bare_soil,mae_sr_bare_soil
tile_0000,31.0,35.0,27.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,60.0,25.0,20.0,5.0,5.0,5.0,25.0,20.0,5.0,50.0,60.0,75.0,80.0,5.0,5.0,5.0,25.0,20.0,5.0
tile_0001,28.424,26.824,20.824,False,False,False,27.94,72.06,0.0,0.0,0.0,50.0,60.0,0.0,5.0,0.0,5.0,20.0,20.0,28.0,10.0,22.06,32.06,72.06,67.06,0.0,5.0,20.0,20.0,28.0,10.0
tile_0002,16.924,17.924,12.924000000000001,False,False,False,37.69,62.31,0.0,0.0,0.0,50.0,50.0,25.0,20.0,5.0,5.0,5.0,25.0,25.0,5.0,12.310000000000002,12.310000000000002,37.31,42.31,5.0,5.0,5.0,25.0,25.0,5.0
tile_0003,31.0,27.0,27.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,50.0,25.0,30.0,5.0,5.0,5.0,5.0,20.0,5.0,50.0,50.0,75.0,70.0,5.0,5.0,5.0,5.0,20.0,5.0
tile_0004,32.0,20.0,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,20.0,20.0,50.0,5.0,0.0,10.0,10.0,25.0,20.0,40.0,20.0,80.0,50.0,5.0,0.0,10.0,10.0,25.0,20.0
tile_0005,26.0,26.0,20.0,False,False,False,0.0,100.0,0.0,0.0,0.0,40.0,20.0,30.0,40.0,5.0,10.0,10.0,20.0,5.0,20.0,40.0,20.0,70.0,60.0,5.0,10.0,10.0,20.0,5.0,20.0
tile_0006,40.0,27.0,18.0,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,50.0,0.0,30.0,0.0,5.0,0.0,5.0,50.0,5.0,50.0,50.0,100.0,70.0,0.0,5.0,0.0,5.0,50.0,5.0
tile_0007,36.0,32.0,,False,False,True,0.0,100.0,0.0,0.0,0.0,20.0,10.0,10.0,20.0,30.0,40.0,10.0,10.0,30.0,20.0,20.0,10.0,90.0,80.0,30.0,40.0,10.0,10.0,30.0,20.0
tile_0008,38.0,36.0,,False,False,True,0.0,100.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,60.0,60.0,10.0,10.0,10.0,10.0,20.0,10.0,90.0,90.0,60.0,60.0,10.0,10.0,10.0,10.0
tile_0009,33.12,27.119999999999997,,False,False,True,4.7,95.3,0.0,0.0,0.0,45.0,45.0,10.0,25.0,10.0,15.0,10.0,5.0,20.0,5.0,40.3,40.3,85.3,70.3,10.0,15.0,10.0,5.0,20.0,5.0
tile_0010,20.0,14.0,11.999999999999998,False,False,False,22.29,77.71,0.0,0.0,0.0,20.0,20.0,30.0,50.0,10.0,20.0,10.0,10.0,30.0,10.0,2.289999999999999,2.289999999999999,47.709999999999994,27.709999999999994,10.0,20.0,10.0,10.0,30.0,10.0
tile_0011,20.0,20.0,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,30.0,50.0,50.0,0.0,0.0,10.0,10.0,20.0,10.0,20.0,30.0,50.0,50.0,0.0,0.0,10.0,10.0,20.0,10.0
tile_0012,20.8,20.0,18.0,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,50.0,0.0,0.0,10.0,10.0,64.0,20.0,20.0,20.0,10.0,50.0,0.0,0.0,10.0,10.0,64.0,20.0
tile_0013,18.0,20.0,19.8,False,False,False,0.0,0.0,0.0,0.0,0.0,20.0,20.0,50.0,60.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,50.0,60.0,0.0,0.0,0.0,0.0,20.0,20.0
tile_0014,32.0,18.0,10.6,False,False,False,0.0,100.0,0.0,0.0,0.0,50.0,20.0,20.0,50.0,5.0,0.0,5.0,0.0,20.0,20.0,50.0,20.0,80.0,50.0,5.0,0.0,5.0,0.0,20.0,20.0
tile_0015,17.024,19.024,19.024,False,False,False,2.44,97.56,0.0,0.0,0.0,20.0,20.0,60.0,50.0,5.0,0.0,10.0,25.0,15.0,5.0,17.56,17.56,37.56,47.56,5.0,0.0,10.0,25.0,15.0,5.0
